kai	Ziza
	0.570839311541
logouv	Og
	0.392100100785
dexiwn	silva
	0.382694733184
peran	Gerson
	0.405649335218
erhmw	Agar
	0.346887371505
odw	Musi
	0.405870699365
aggeloi	pugnabat
	0.462418691837
proselywn	Oolibama
	0.562051168889
cara	Ezechiam
	0.463266213056
eicon	Oza
	0.470116201985
epaggeliav	Iosaphat
	0.564644379702
oupw	ieiunio
	0.526386874475
olhv	Adad
	0.674618952677
carav	Asor
	0.439263160426
pollw	Iosaphat
	0.499828036767
poliv	Abidan
	0.470498452444
pollouv	Aseroth
	0.407639598703
prwth	Naaman
	0.492999022255
gunaikov	Naaman
	0.544476638324
douloi	Beelphegor
	0.547579672191
exelywn	Oolibama
	0.512447036949
dioti	Ezechiam
	0.395095189869
lalhsai	Ezechiam
	0.458856448935
anebh	Heber
	0.45426445615
zhteite	Esaiam
	0.606050303131
fobou	Nobe
	0.391453397179
aphlyon	Iamin
	0.413576532011
krima	Husai
	0.436021075482
hmerwn	fortissime
	0.513304165467
oiden	conplacuit
	0.616308097426
rhma	ephod
	0.341552034336
presbuteroi	Magog
	0.534851384756
andrav	Asan
	0.371258415787
doxh	Ahab
	0.458985645814
episteusan	Asiongaber
	0.472506477031
melh	Hieu
	0.541407950501
polu	Disan
	0.315835077036
ginwskete	Esaiam
	0.521063707851
ekeinou	Naaman
	0.505234935814
presbuterwn	Cison
	0.500534267714
apostolwn	Sedrac
	0.442986623232
kairon	Roboam
	0.531752684252
aggelon	stetitque
	0.479674797204
poihsw	oboedierunt
	0.651635238438
hgeiren	ephod
	0.540030638456
poihsav	Iechoniam
	0.635704776796
proskalesamenov	Asiongaber
	0.473875596717
mikron	Hieroboam
	0.619081158208
elaben	Gerson
	0.370209683253
polei	Eliphaz
	0.390995096025
eidwv	Aggei
	0.439238665627
entolhn	Iechoniam
	0.479414918277
profhtai	Ioppe
	0.583885234448
alhywv	ieiunio
	0.41417319411
plhrwyh	Agag
	0.420050563757
hkolouyhsan	Musi
	0.443355775187
autaiv	Iohanan
	0.579483055021
tessarakonta	Gedeon
	0.353287985642
afhken	Isai
	0.59490523513
ceirwn	Michol
	0.44076681127
mhdeni	Samariam
	0.492750423018
labein	Magog
	0.506850779888
wrav	Thaath
	0.360711368531
dunamewv	Iosaphat
	0.500977168951
nuni	Ezechiam
	0.406315669957
megalhn	Booz
	0.473882660631
ioudav	levitici
	0.453027453328
mhketi	Amasiam
	0.492117622971
epanw	Helimelech
	0.37875452073
dunameiv	Ioppe
	0.449373694512
aggelouv	Remmon
	0.427752409669
mayhthv	levitici
	0.574887008904
eiselywn	Oolibama
	0.486180274286
ieron	turma
	0.476522438476
poia	prophetaverunt
	0.601731672688
fulhv	Sale
	0.601412336215
allhlwn	Sennacherib
	0.453513192789
akouete	Antiochiam
	0.611748163134
isaak	Salomon
	0.594430826751
monov	postulasti
	0.559409941623
apekriyhsan	ieiunio
	0.513011004673
ceiri	Michol
	0.33045415541
agioiv	Ezechiam
	0.597001225507
lalein	Godoliam
	0.507945962456
parakalw	Ezechiam
	0.472107901918
timhn	Ahaz
	0.446268728567
ebalen	Ithamar
	0.464089879701
dikaiov	rege
	0.519672706227
ercontai	Alphei
	0.405824002397
olhn	Esrom
	0.351268201563
adelfwn	Sennaar
	0.636205801763
ekeinhv	Micha
	0.506125317776
dokei	ieiunio
	0.544069509718
mwsewv	Ezechiam
	0.463904259215
swthriav	Sennacherib
	0.585585067316
ercomai	euge
	0.512411243716
ekklhsian	Asor
	0.565733874279
eipe	ieiunio
	0.498967312787
aimati	Achimaas
	0.413497730237
elyontev	Musi
	0.564819025038
eirhnhv	Ioiachim
	0.489870660593
axiov	elige
	0.494563515324
ezhtoun	Asiongaber
	0.466241654672
oclouv	suburbana
	0.355816296414
toutoiv	reliquos
	0.552900050063
yeleiv	ieiunio
	0.521548114828
pleion	Oza
	0.525029049369
marturian	Naboth
	0.479270618489
andri	Achaz
	0.46750049418
ierou	Salmana
	0.50797054028
eneken	Husai
	0.486134126949
ciliadev	Gedeon
	0.483400915452
lalei	Iechoniam
	0.477423862584
baptisma	Athersatha
	0.504744842328
akolouyei	Ithamar
	0.558751627408
nekrouv	Og
	0.400452294627
kardiaiv	Godoliam
	0.556653185348
hte	Iudaeam
	0.553531242711
galilaian	Mooli
	0.389452885036
dikaion	remanserat
	0.55669612002
omoia	Heliab
	0.466814309372
podwn	Michol
	0.530190197588
paracrhma	Ithamar
	0.407303767897
hrxanto	Musi
	0.410258367276
pisteuete	Esaiam
	0.59536937716
yhrion	appellavitque
	0.559436606031
fulakh	Mooli
	0.328498829105
ekastw	Iosaphat
	0.385605156622
emh	Ezechiam
	0.546098633452
doulouv	urbs
	0.498745738617
ephrwthsen	levitici
	0.570081853964
hnoixen	Gedeon
	0.430082657981
onta	Maspha
	0.377601829183
eynov	nimio
	0.605896491634
idion	dormivitque
	0.562696132806
dwsei	Husai
	0.548224472482
marturion	Ahaz
	0.463692933739
oikw	Achobor
	0.366427415393
idia	Godoliam
	0.391121478148
paredwken	Artarxersis
	0.510255994365
pneumata	Benadad
	0.468281697628
oinon	rogabitque
	0.552868404066
exelyontev	Musi
	0.451109021818
trith	Helcana
	0.378486383379
egraqa	Ezechiam
	0.416574910097
poreuesyai	Cedmihel
	0.379810283132
proswpou	Baurim
	0.465374875234
basileiv	Cornelius
	0.527809856146
emauton	Hieroboam
	0.579595246437
entolav	Ezechiam
	0.472628980627
misyon	Roboam
	0.478655810353
pollakiv	Caree
	0.34899880018
biblion	Oza
	0.490185770857
hkousan	Maceda
	0.430185786905
oudena	ieiunio
	0.503249686682
wsin	Iudaeae
	0.580141486851
doulon	diadema
	0.605424415433
lalw	Ezechiam
	0.501577693086
elalei	Maspha
	0.417260294243
gnwnai	Felix
	0.47687151485
egenonto	Heliasaph
	0.435093424062
apostolov	Assyrios
	0.63017161492
egrafh	Ezechiam
	0.547359024094
oikiav	Eser
	0.451896301253
ekklhsiaiv	Sennacherib
	0.621709822961
oikov	Mifiboseth
	0.58650998145
mnhmeion	Eleazari
	0.511025501387
elpida	Ezechiam
	0.476394212944
mega	Helimelech
	0.45752145819
olh	Achitob
	0.417311850694
kayhmenov	Mifiboseth
	0.633948987412
agaphv	Ioachim
	0.542253760603
wta	Gabaath
	0.591957225684
yelete	conversionem
	0.572173272248
uiwn	silva
	0.480909400675
logoiv	Ezechiam
	0.592085952056
ioudaiouv	urbes
	0.588633805137
rabbi	Asiongaber
	0.559162031646
proselyontev	Musi
	0.428356690317
adelfoiv	Iechoniam
	0.676498022531
anti	Achobor
	0.371651430145
eipein	Antiochiae
	0.546923262059
